Date,Close/Last,Volume,Open,High,Low
07/06/2022,$142.92,74064250,$141.355,$144.12,$141.08
07/05/2022,$141.56,73429640,$137.77,$141.61,$136.93
07/01/2022,$138.93,71051550,$136.04,$139.04,$135.66
06/30/2022,$136.72,98964470,$137.25,$138.37,$133.7737
06/29/2022,$139.23,66242410,$137.46,$140.67,$136.67
06/28/2022,$137.44,67315330,$142.13,$143.422,$137.325
06/27/2022,$141.66,70207910,$142.695,$143.49,$140.965
06/24/2022,$141.66,89116840,$139.9,$141.91,$139.77
06/23/2022,$138.27,72433770,$136.82,$138.59,$135.63
06/22/2022,$135.35,73409230,$134.79,$137.76,$133.91
06/21/2022,$135.87,81000490,$133.42,$137.06,$133.32
06/17/2022,$131.56,134520300,$130.065,$133.079,$129.81
06/16/2022,$130.06,107961500,$132.08,$132.39,$129.04
06/15/2022,$135.43,91532970,$134.29,$137.34,$132.16
06/14/2022,$132.76,84784330,$133.13,$133.89,$131.48
06/13/2022,$131.88,122207100,$132.87,$135.2,$131.44
06/10/2022,$137.13,91566640,$140.28,$140.76,$137.06
06/09/2022,$142.64,69472980,$147.08,$147.95,$142.53
06/08/2022,$147.96,53950200,$148.58,$149.8697,$147.46
06/07/2022,$148.71,67808150,$144.345,$149,$144.1
