Date,Close/Last,Volume,Open,High,Low
07/06/2022,18.32,405861,18.49,18.69,17.73
07/05/2022,18.66,523628,18.91,18.91,18.13
07/01/2022,19.18,449522,18.99,19.27,18.57
06/30/2022,18.96,266226,18.92,19.11,18.66
06/29/2022,19.13,335995,19.48,19.68,18.95
06/28/2022,19.42,573233,19.4,19.81,19.15
06/27/2022,19.1,906297,18.97,19.32,18.9
06/24/2022,18.8,507874,18.64,18.94,18.44
06/23/2022,18.38,593610,18.8,18.9,17.95
06/22/2022,18.75,939773,18.88,19,18.56
06/21/2022,19.44,614190,19.03,19.66,19.03
06/17/2022,18.65,446406,19.12,19.35,18.38
06/16/2022,19.18,420827,19.76,19.7709,19.1
06/15/2022,20.05,538977,20.56,20.71,19.92
06/14/2022,20.38,647387,20.99,21.34,20.28
06/13/2022,20.79,589528,21.54,21.54,20.74
06/10/2022,22.05,458691,22.42,22.46,21.82
06/09/2022,22.62,455347,22.71,22.74,22.42
06/08/2022,22.77,861606,23.13,23.1613,22.53
06/07/2022,23.11,739006,22.67,23.11,22.54
