Date,AAPL,AMJ,JLL
07/06/2022,$142.92,18.32,$173.04
07/05/2022,$141.56,18.66,$180.63
07/01/2022,$138.93,19.18,$181.17
06/30/2022,$136.72,18.96,$174.86
06/29/2022,$139.23,19.13,$176.63
06/28/2022,$137.44,19.42,$176.86
06/27/2022,$141.66,19.1,$176.68
06/24/2022,$141.66,18.8,$175.46
06/23/2022,$138.27,18.38,$171.45
06/22/2022,$135.35,18.75,$170.44
06/21/2022,$135.87,19.44,$169.52
06/17/2022,$131.56,18.65,$167.02
06/16/2022,$130.06,19.18,$155.76
06/15/2022,$135.43,20.05,$166.08
06/14/2022,$132.76,20.38,$165.3
06/13/2022,$131.88,20.79,$162.45
06/10/2022,$137.13,22.05,$172.38
06/09/2022,$142.64,22.62,$177.96
06/08/2022,$147.96,22.77,$185.07
06/07/2022,$148.71,23.11,$190.28
