Date,Close/Last,Volume,Open,High,Low
07/06/2022,$173.04,401118,$179.91,$182.14,$172.71
07/05/2022,$180.63,393082,$176.83,$181.62,$175.91
07/01/2022,$181.17,305767,$173.93,$181.7,$173.93
06/30/2022,$174.86,675012,$172.13,$178.87,$171.365
06/29/2022,$176.63,295287,$176.68,$177.565,$174.42
06/28/2022,$176.86,327532,$178.89,$180.87,$176.4
06/27/2022,$176.68,299118,$176.36,$179.115,$173.815
06/24/2022,$175.46,432961,$172.6,$175.56,$171.97
06/23/2022,$171.45,483854,$171.15,$173.56,$170.92
06/22/2022,$170.44,456961,$167.02,$173.11,$167.02
06/21/2022,$169.52,643332,$170.49,$172.58,$167.24
06/17/2022,$167.02,1310050,$160.42,$168.525,$156.09
06/16/2022,$155.76,495501,$160.19,$161.34,$154.63
06/15/2022,$166.08,735453,$167.51,$169.74,$164.42
06/14/2022,$165.3,450845,$163.68,$165.815,$161.79
06/13/2022,$162.45,555090,$167.07,$168.24,$161.02
06/10/2022,$172.38,334366,$174.7,$177.155,$171.245
06/09/2022,$177.96,286480,$182.83,$183.925,$177.87
06/08/2022,$185.07,320335,$187.65,$189.39,$184.77
06/07/2022,$190.28,325385,$187,$192.0125,$187
